Survived,Pclass,Sex,SibSp,Parch,Embarked,Age_bin,Fare_bin,Family_Size,Is_Alone,Deck
0,3,male,1,0,S,Young Adult,Low,2,0,U
1,1,female,1,0,C,Adult,Premium,2,0,C
1,3,female,0,0,S,Young Adult,Medium,1,1,U
1,1,female,1,0,S,Adult,Premium,2,0,C
0,3,male,0,0,S,Adult,Medium,1,1,U
0,3,male,0,0,Q,Young Adult,Medium,1,1,U
0,1,male,0,0,S,Adult,Premium,1,1,E
0,3,male,3,1,S,Child,High,5,0,U
1,3,female,0,2,S,Young Adult,Medium,3,0,U
1,2,female,1,0,C,Teenager,High,2,0,U
1,3,female,1,1,S,Child,High,3,0,Rare_Deck
1,1,female,0,0,S,Adult,High,1,1,C
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,1,5,S,Adult,Premium,7,0,U
0,3,female,0,0,S,Teenager,Low,1,1,U
1,2,female,0,0,S,Adult,High,1,1,U
0,3,male,4,1,Q,Child,High,6,0,U
1,2,male,0,0,S,Young Adult,Medium,1,1,U
0,3,female,1,0,S,Adult,High,2,0,U
1,3,female,0,0,C,Young Adult,Low,1,1,U
0,2,male,0,0,S,Adult,High,1,1,U
1,2,male,0,0,S,Adult,Medium,1,1,D
1,3,female,0,0,Q,Teenager,Medium,1,1,U
1,1,male,0,0,S,Young Adult,Premium,1,1,A
0,3,female,3,1,S,Child,High,5,0,U
1,3,female,1,5,S,Adult,Premium,7,0,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
0,1,male,3,2,S,Teenager,Premium,6,0,C
1,3,female,0,0,Q,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,1,male,0,0,C,Adult,High,1,1,U
1,1,female,1,0,C,Young Adult,Premium,2,0,B
1,3,female,0,0,Q,Young Adult,Low,1,1,U
0,2,male,0,0,S,Senior,Medium,1,1,U
0,1,male,1,0,C,Young Adult,Premium,2,0,U
0,1,male,1,0,S,Adult,Premium,2,0,U
1,3,male,0,0,C,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,female,2,0,S,Teenager,High,3,0,U
1,3,female,1,0,C,Teenager,Medium,2,0,U
0,3,female,1,0,S,Adult,Medium,2,0,U
0,2,female,1,0,S,Young Adult,High,2,0,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
1,2,female,1,2,C,Child,Premium,4,0,U
1,3,female,0,0,Q,Teenager,Low,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,1,0,Q,Young Adult,High,2,0,U
1,3,female,0,0,Q,Young Adult,Low,1,1,U
0,3,male,2,0,C,Young Adult,High,3,0,U
0,3,female,1,0,S,Teenager,High,2,0,U
0,3,male,4,1,S,Child,Premium,6,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,1,female,1,0,C,Adult,Premium,2,0,D
1,2,female,1,0,S,Young Adult,High,2,0,U
0,1,male,0,1,C,Adult,Premium,2,0,B
1,1,male,0,0,S,Young Adult,Premium,1,1,C
